MSSV,1932300462,#N/A,,,TCTL,#N/A,"Môn ĐK Trong
 HK hiện tại",,,#REF!,#REF!,Kỳ sau,,,,
GENERAL: 35,Course,Course name,Grade,Grade,Prerequisites,Credit,,,,,,,,,,
,LAWS 121,Essentials of Vietnamese Laws,chưa ,chưa ,,3,,,,1932300462LAWS 121,,0,,,,
,POLS 130,Principles of Marxisim and Leninism,chưa ,chưa ,chỉ <K8,,,,,1932300462POLS 130,,0,,,,
,POLS 131,Revolutionary Direction of Vietnam Communist Party,chưa ,chưa ,chỉ <K8,,,,,1932300462POLS 131,,0,,,,
,POLS 132,Ho Chi Minh Ideology,chưa ,chưa ,,3,Tín chỉ HK: 0,,,1932300462POLS 132,,0,,,,
,POLS 133,Philosophy of Marxism and Leninism,chưa ,chưa ,,4,,,,1932300462POLS 133,,0,,,,
,POLS 134,Political Economics of Marxism and Leninism,chưa ,chưa ,,3,,,,1932300462POLS 134,,0,,,,
,POLS 135,Scientific Socialism,chưa ,chưa ,,3,,,,1932300462POLS 135,,0,,,,
,POLS 136,History of Vietnamese Communist Party,chưa ,chưa ,,3,,,,1932300462POLS 136,,0,,,,
,UNIV 100,Study Skills,chưa ,chưa ,Level 5/IELTS 5.5 or above,1,"Môn ĐK Trong
 HK sau",,,1932300462UNIV 100,,0,,,,
,INFO 105,Computer Fundamentals,chưa ,chưa ,Level 5/IELTS 5.5 or above,3,,,,1932300462INFO 105,,0,,,,
,UNIV 111,Focused Inquiry: Sustainablity,chưa ,chưa ,Level 5/IELTS 5.5 or above,4,,,,1932300462UNIV 111,,0,,,,
,UNIV 112,Focused Inquiry: Globalization,chưa ,chưa ,Level 5/IELTS 5.5 or above,4,,,,1932300462UNIV 112,,0,,,,
,WRT 122,English Composition,chưa ,chưa ,Level 5/IELTS 5.5 or above,4,,,,1932300462WRT 122,,0,,,,
,,,,,,,Tín chỉ HK: 0,,,1932300462,,0,,,,
FOUNDATION CORE: 32,Course,Course name,Grade,Grade,Prerequisites,Credit,,,,1932300462Course,,0,,,,
,BUS 101,Fundamentals of Business Administration,chưa ,chưa ,IELTS 6.0,4,,,,1932300462BUS 101,,0,,,,
,MTH 171,Mathematical Applications for Business,chưa ,chưa ,IELTS 6.0,4,,,,1932300462MTH 171,,0,,,,
,ECO 204,Microeconomics,chưa ,chưa ,IELTS 6.0,4,,,,1932300462ECO 204,1932300462ECON 121,0,chưa ,ECON 121,chưa ,5
,ECO 205,Macroeconomics,chưa ,chưa ,ECO 204,4,,,,1932300462ECO 205,1932300462ECON 231,0,chưa ,ECON 231,chưa ,5
,BUS 214,Business Communication,chưa ,chưa ,"WRT 122, IELTS 6.0",4,,,,1932300462BUS 214,,0,,,,
,STA 228,Statistics,chưa ,chưa ,MTH 171,4,,,,1932300462STA 228,,0,,,,
,ACTG 240,Fundamentals of Financial Accounting,chưa ,chưa ,Level 5/IELTS 5.5 or above,4,,,,1932300462ACTG 240,,0,,,,
,ACTG 243,Decision making with Accounting Information,chưa ,chưa ,ACTG 240,4,,,,1932300462ACTG 243,,0,,,,
,,,,,,,,,,1932300462,,0,,,,
0,Course,Course name,Grade,Grade,Prerequisites,Credit,,,,1932300462Course,,0,,,,
Số TC 100-200 pass,SOC 144,Sociology,chưa ,chưa ,,4,,,,1932300462SOC 144,,0,,,,
,PSYC 154,Psychology,chưa ,chưa ,,4,,,,1932300462PSYC 154,,0,,,,
,WRT 187,Academic Reading and Writing,chưa ,chưa ,,4,,,,1932300462WRT 187,,0,,,,
,BUS 198,Information Technology for Business,chưa ,chưa ,,4,,,,1932300462BUS 198,,0,,,,
,SPCH 201,Public Speaking,chưa ,chưa ,,4,,,,1932300462SPCH 201,,0,,,,
,WRT 209,Seminar in Writing,chưa ,chưa ,WRT 122,4,,,,1932300462WRT 209,,0,,,,
,HMGT 213,Essentials of Hospitality Management,chưa ,chưa ,,4,,,,1932300462HMGT 213,,0,,,,
,MGMT 216,Fundamentals of Management,chưa ,chưa ,BUS 101,4,,,,1932300462MGMT 216,,0,,,,
,ACTG 221,Accounting Mechanics,chưa ,chưa ,,1,,,,1932300462ACTG 221,,0,,,,
,FIN 239,Personal Finance,chưa ,chưa ,BUS 101,4,,,,1932300462FIN 239,,0,,,,
,PHL 255,Critical and Creative Thinking,chưa ,chưa ,BUS 214,4,,,,1932300462PHL 255,,0,,,,
,INTL 271,International Business,chưa ,chưa ,BUS 101,4,,,,1932300462INTL 271,,0,,,,
,ECO 279,International Trade,chưa ,chưa ,ECO 205,4,,,,1932300462ECO 279,,0,,,,
,INFO 284,Information System,chưa ,chưa ,,4,,,,1932300462INFO 284,,0,,,,
,MGMT 291,Seminar in Current Affair,chưa ,chưa ,BUS 101,4,,,,1932300462MGMT 291,,0,,,,
,STA 235,Vietnam: People and Place,chưa ,chưa ,STA 228,4,,,,1932300462STA 235,,0,,,,
,UNIV 226,Smart Cities and Communities,chưa ,chưa ,,4,,,,1932300462UNIV 226,,0,,,,
,UNIV 234,Taiwan: People and Place,chưa ,chưa ,,4,,,,1932300462UNIV 234,,0,,,,
,UNIV 236,Korea: People and Place,chưa ,chưa ,,4,,,,1932300462UNIV 236,,0,,,,
,UNIV 238,Singapore: People and Place,chưa ,chưa ,,4,,,,1932300462UNIV 238,,0,,,,
,UNIV 237,Japan: People and Place,chưa ,chưa ,,4,,,,1932300462UNIV 237,,0,,,,
,MTH 123,Mathematics 1,chưa ,chưa ,,4,,,,1932300462MTH 123,,0,,,,
,MTH 124,Mathematics 2,chưa ,chưa ,,4,,,,1932300462MTH 124,,0,,,,
,MTH 125,Mathematics 3,chưa ,chưa ,,4,,,,1932300462MTH 125,,0,,,,
,LNGS-J101,Japanese 1,chưa ,chưa ,,4,,\,,1932300462LNGS-J101,,0,,,,
,LNGS-J102,Japanese 2,chưa ,chưa ,,4,,,,1932300462LNGS-J102,,0,,,,
,LNGS-J103,Japanese 3,chưa ,chưa ,,4,,,,1932300462LNGS-J103,,0,,,,
,LNGS-K101,Korean 1,chưa ,chưa ,,4,,,,1932300462LNGS-K101,,0,,,,
,LNGS-K102,Korean 2,chưa ,chưa ,,4,,,,1932300462LNGS-K102,,0,,,,
,LNGS-K103,Korean 3,chưa ,chưa ,,4,,,,1932300462LNGS-K103,,0,,,,
,MUSI 203,Music 1,chưa ,chưa ,,4,,,,1932300462MUSI 203,,0,,,,
,MUSI 204,Music 2,chưa ,chưa ,,4,,,,1932300462MUSI 204,,0,,,,
,MUSI 205,Music 3,chưa ,chưa ,,4,,,,1932300462MUSI 205,,0,,,,
,PHYS 108,Physics,chưa ,chưa ,,4,,,,1932300462PHYS 108,,0,,,,
,PHYS 109,Physics Laboratory 1,chưa ,chưa ,,4,,,,1932300462PHYS 109,,0,,,,
,PHYS 110,Physics Laboratory 2,chưa ,chưa ,,4,,,,1932300462PHYS 110,,0,,,,
,,,,,,,,,,1932300462,,0,,,,
ADVANCED CORE: 47,Course,Course name,Grade,Grade,Prerequisites,Credit,,,,1932300462Course,,0,,,,
,BUS 301,Professional Career Development,chưa ,chưa ,BUS 214,3,,,,1932300462BUS 301,,0,,,,
,BUS 303,Business Research Methods,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 303,,0,,,,
,BUS 314,Organizational Behavior,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 314,,0,,,,
,BUS 328,Business Finance,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 328,,0,,,,
,BUS 332,Marketing Management,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 332,,0,,,,
,BUS 345,E-commerce,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 345,,0,,,,
,BUS 357,Entrepreneurship,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 357,,0,,,,
,BUS 359,Operations and Supply Chain Managment,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 359,,0,,,,
,BUS 378,Business Environment,chưa ,chưa ,BUS 214,4,,,,1932300462BUS 378,,0,,,,
,BUS 450,Final Year Project,chưa ,chưa ,"BUS 301, BUS 303, BUS 314, BUS 328, BUS 332, BUS 345, BUS 357, BUS 359, BUS 378",6,,,,1932300462BUS 450,,0,,,,
